id_cliente,nome,email,cidade,estado,pais,data_cadastro,canal_aquisicao,segmento
1,Alves e Filhos,mariahleao@moura.com,Monteiro,BA,BR,2022-08-31,inbound,servicos
2,da Cruz,gustavo96@nunes.com,da Mota do Galho,PI,BR,2025-08-08,inbound,ti
3,Carvalho Sousa S/A,beatriz19@abreu.org,Barbosa das Flores,MS,BR,2024-09-02,inbound,financeiro
4,Pastor - ME,pferreira@borges.org,Caldeira do Campo,GO,BR,2025-08-17,inbound,servicos
5,Alves S/A,freitasisis@sa.br,Casa Grande Grande,PE,BR,2023-11-15,inbound,varejo
6,da Conceicao Montenegro - EI,thiagoaragao@aragao.br,Cunha das Flores,BA,BR,2023-08-11,outbound,servicos
7,Novais S.A.,agathamachado@cavalcante.com,Brito de Camara,MA,BR,2025-05-17,parceiro,servicos
8,Camara,maria-julia50@cavalcanti.net,Almeida Alegre,GO,BR,2025-08-30,outbound,varejo
9,Pastor,ribeirolevi@melo.org,da Rocha de Siqueira,GO,BR,2023-09-09,inbound,educacao
10,Abreu,emanuelly50@rodrigues.br,Montenegro,RS,BR,2022-01-26,parceiro,industria
11,Sampaio Lima Ltda.,biancada-cunha@melo.br,da Cruz do Galho,PE,BR,2024-05-12,inbound,financeiro
12,Cassiano,renanpinto@macedo.br,Leao dos Dourados,MG,BR,2022-03-20,parceiro,varejo
13,Teixeira Fernandes S/A,antoniomacedo@barros.br,Martins do Campo,RJ,BR,2024-10-08,inbound,ti
14,Garcia S/A,yasminabreu@lima.com,da Paz,ES,BR,2022-05-08,outbound,educacao
15,Ferreira,esa@albuquerque.com,Lima,SC,BR,2023-02-17,outbound,ti
16,Aparecida,dcostela@cavalcante.com,Freitas,RJ,BR,2022-05-17,evento,varejo
17,Nascimento,rgomes@cunha.com,da Costa de Alves,SP,BR,2025-09-19,inbound,servicos
18,Garcia S/A,eduarda44@rocha.com,Camargo do Sul,ES,BR,2023-07-02,evento,servicos
19,Pires,pimentaeloa@farias.com,das Neves dos Dourados,ES,BR,2023-01-23,outbound,industria
20,Oliveira,rebeca48@barbosa.org,Cunha de Nogueira,RN,BR,2023-07-25,evento,ti
21,Santos Azevedo S/A,josenascimento@duarte.com,Costa,DF,BR,2025-06-07,outbound,varejo
22,Vargas da Rocha S/A,joao-gabrielpastor@fogaca.br,Albuquerque de Minas,AM,BR,2024-10-12,outbound,saude
23,Brito Garcia Ltda.,nina63@pinto.net,Dias,MS,BR,2023-02-25,parceiro,ti
24,Porto,ferreirastephany@goncalves.com,Ferreira,MS,BR,2025-02-21,parceiro,ti
25,Castro,qabreu@da.br,Peixoto,MA,BR,2025-01-16,outbound,ti
26,Fogaca,mendoncaevelyn@barros.br,Jesus de Goias,ES,BR,2022-05-21,outbound,financeiro
27,Rios da Mata e Filhos,andradevitoria@duarte.br,Pastor,PI,BR,2022-02-20,outbound,industria
28,Pereira e Filhos,eduardosa@machado.br,Viana do Norte,MG,BR,2024-09-13,inbound,varejo
29,Nascimento Siqueira S.A.,vargasluiz-henrique@farias.com,Souza,PR,BR,2024-07-17,parceiro,industria
30,Martins Garcia Ltda.,vfonseca@correia.br,Cassiano de Goias,MA,BR,2025-09-22,inbound,ti
31,Rodrigues Duarte S/A,gnascimento@lima.br,Ribeiro,BA,BR,2023-10-24,inbound,ti
32,Andrade Dias - ME,pintojade@barbosa.com,da Conceicao,CE,BR,2023-01-01,parceiro,industria
33,Azevedo,pda-paz@santos.br,Rezende da Serra,BA,BR,2024-06-26,outbound,varejo
34,Nunes Silva Ltda.,luiz-miguelbarros@porto.br,Ferreira,PB,BR,2024-09-24,inbound,varejo
35,Rezende Monteiro - ME,ana-beatriz57@mendes.br,Gomes,RS,BR,2024-05-03,outbound,varejo
36,Casa Grande,goncalvesbruno@sousa.br,Peixoto das Pedras,MT,BR,2022-09-15,parceiro,varejo
37,Carvalho,ana-livianogueira@leao.org,Sales,PB,BR,2022-02-14,inbound,servicos
